ticket_id,subject,description,resolution,status,priority,category,tags,reported_at,resolved_at,troubleshooting_steps,troubleshooting_steps
INC-1010,Database Connection Leak Detection,Connections slowly consumed until pool exhausted over hours,Leaks from code not closing connections. Enable 60s leak detection. Monitor connection age. Fix code use try-with-resources. Set max lifetime. Alert on exhaustion.,Resolved,High,Application,"database, leak, debugging, connections",25-05-2024,25-05-2024,Leaks from code not closing connections; Enable 60s leak detection; Monitor connection age; Fix code use try-with-resources; Set max lifetime; Alert on exhaustion.; Technical Note: Leaks cause gradual degradation then crash.,Leaks cause gradual degradation then crash.
INC-1011,Database Read Replica Setup,Primary database overloaded with read queries affecting writes,Offload reads to replicas. Route SELECTs to replica. Keep writes on primary. Monitor replication lag. Scale replicas horizontally.,Resolved,High,Infrastructure,"database, replica, scalability, reads",10-04-2024,10-04-2024,Offload reads to replicas; Route SELECTs to replica; Keep writes on primary; Monitor replication lag; Scale replicas horizontally.; Technical Note: Replicas offload 70-80% of queries.,Replicas offload 70-80% of queries.
INC-1012,Database Index Missing Symptoms,Queries slow with full table scans consuming excessive resources,Missing indexes cause scans. Review execution plans. Add covering indexes. Drop unused indexes. Create composites. Schedule maintenance off-peak.,Resolved,High,Infrastructure,"database, index, optimization, scans",05-03-2024,05-03-2024,Missing indexes cause scans; Review execution plans; Add covering indexes; Drop unused indexes; Create composites; Schedule maintenance off-peak.; Technical Note: Proper indexing foundation of performance.,Proper indexing foundation of performance.
INC-1013,Database Morning Slowdown 9-11 AM,Database slow during morning hours when dashboards load,Morning peak from logins and dashboard queries. Pre-warm caches. Stagger scheduled jobs. Use replicas for dashboards. Scale for peak.,Resolved,High,Infrastructure,"database, morning, peak, dashboards",18-08-2024,18-08-2024,Morning peak from logins and dashboard queries; Pre-warm caches; Stagger scheduled jobs; Use replicas for dashboards; Scale for peak.; Technical Note: Start of day creates predictable peak.,Start of day creates predictable peak.
INC-1014,Database Evening Batch Conflicts,Database slow 6-8 PM when batch jobs run during user activity,Batch jobs conflict with user queries. Reschedule batches to night. Implement resource governor. Add replicas. Monitor job schedules.,Resolved,High,Infrastructure,"database, evening, batch, scheduling",22-07-2024,22-07-2024,Batch jobs conflict with user queries; Reschedule batches to night; Implement resource governor; Add replicas; Monitor job schedules.; Technical Note: Scheduled jobs often conflict with usage.,Scheduled jobs often conflict with usage.
INC-1015,Network Latency High Symptoms,Application response times slow due to network delays,Measure latency with ping under 5ms same DC. Use traceroute for hops. Check interface errors. Implement QoS. Deploy caching layer.,Resolved,High,Infrastructure,"network, latency, performance, response",08-06-2024,08-06-2024,Measure latency with ping under 5ms same DC; Use traceroute for hops; Check interface errors; Implement QoS; Deploy caching layer.; Technical Note: Every query incurs round-trip time.,Every query incurs round-trip time.
INC-1016,Network Evening Congestion 5-8 PM,Network saturated during evening hours affecting remote workers,Evening coincides with streaming and gaming. Check utilization above 80%. Review QoS for business priority. Shape traffic. Schedule transfers off-peak.,Resolved,High,Infrastructure,"network, evening, congestion, bandwidth",15-05-2024,15-05-2024,Evening coincides with streaming and gaming; Check utilization above 80%; Review QoS for business priority; Shape traffic; Schedule transfers off-peak.; Technical Note: Peak changed with remote work to evenings.,Peak changed with remote work to evenings.
INC-1017,Network Packet Loss Symptoms,Intermittent errors and retransmissions degrading performance,Packet loss above 1% indicates issues. Check interface CRC errors. Review utilization. Inspect cables. Verify duplex. Check MTU. Monitor continuously.,Resolved,High,Infrastructure,"network, packet-loss, troubleshooting",20-04-2024,20-04-2024,Packet loss above 1% indicates issues; Check interface CRC errors; Review utilization; Inspect cables; Verify duplex; Check MTU; Monitor continuously.; Technical Note: Even 1% loss noticeable. TCP retransmits add delay.,Even 1% loss noticeable. TCP retransmits add delay.
INC-1018,Network QoS Not Configured,Business traffic delayed during congestion periods,QoS ensures priority during congestion. Classify traffic types. Mark with DSCP values. Configure queuing. Prioritize real-time. Shape traffic.,Resolved,Medium,Configuration,"network, qos, priority, configuration",12-03-2024,12-03-2024,QoS ensures priority during congestion; Classify traffic types; Mark with DSCP values; Configure queuing; Prioritize real-time; Shape traffic.; Technical Note: QoS critical for service quality.,QoS critical for service quality.
INC-1019,Network Bandwidth Monitoring Gap,No visibility into network utilization causing reactive management,Deploy SNMP monitoring. Set alerts at 70% and 85%. Track historical trends. Identify top talkers. Plan capacity proactively.,Resolved,Medium,Operations,"network, bandwidth, monitoring, capacity",18-02-2024,18-02-2024,Deploy SNMP monitoring; Set alerts at 70% and 85%; Track historical trends; Identify top talkers; Plan capacity proactively.; Technical Note: Proactive monitoring prevents outages.,Proactive monitoring prevents outages.
INC-1020,Remote Work Home Bandwidth Limits,Remote employees slow when family streaming or gaming,Residential 100-300 down but 10-20 up. Upload constrains video and VPN. Four users exhaust upload. Run speed tests. Configure home QoS. Reduce video quality.,Resolved,High,Remote Work,"remote, bandwidth, home, family",25-08-2024,25-08-2024,Residential 100-300 down but 10-20 up; Upload constrains video and VPN; Four users exhaust upload; Run speed tests; Configure home QoS; Reduce video quality.; Technical Note: Home internet not designed for work.,Home internet not designed for work.
INC-1021,Remote Work Best Practices Guide,General guidance for remote worker connectivity issues,Ensure 25 down 5 up minimum. Use wired when possible. Position near router. Configure QoS. Use split tunnel. Close unnecessary apps. Test before meetings.,Resolved,Medium,Best Practices,"remote, best-practices, setup",30-07-2024,30-07-2024,Ensure 25 down 5 up minimum; Use wired when possible; Position near router; Configure QoS; Use split tunnel; Close unnecessary apps; Test before meetings.; Technical Note: Proper setup prevents issues.,Proper setup prevents issues.
INC-1022,Application Timeout Configuration,Apps failing due to aggressive timeout settings,Balance fast fail with legitimate operations. Connection timeout 10-30s. Read timeout 2-3x 99th percentile. Implement retry with backoff. Use circuit breaker.,Resolved,Medium,Configuration,"application, timeout, configuration",12-06-2024,12-06-2024,Balance fast fail with legitimate operations; Connection timeout 10-30s; Read timeout 2-3x 99th percentile; Implement retry with backoff; Use circuit breaker.; Technical Note: Timeout config affects reliability.,Timeout config affects reliability.
INC-1023,Application Retry Logic Missing,Apps failing on transient errors without retry,Implement retry for timeouts and 503s. Use exponential backoff. Limit to 3-5 attempts. Add jitter. Don't retry 4xx. Use circuit breaker.,Resolved,Medium,Development,"application, retry, reliability",08-05-2024,08-05-2024,Implement retry for timeouts and 503s; Use exponential backoff; Limit to 3-5 attempts; Add jitter; Don't retry 4xx; Use circuit breaker.; Technical Note: Retry improves reliability significantly.,Retry improves reliability significantly.
INC-1024,Application Memory Leak Symptoms,App memory growing over time until OutOfMemory crash,Memory leaks cause gradual degradation. Monitor heap usage. Profile to find leaks. Fix object lifecycle. Close resources. Set limits.,Resolved,High,Development,"application, memory, leak, performance",15-04-2024,15-04-2024,Memory leaks cause gradual degradation; Monitor heap usage; Profile to find leaks; Fix object lifecycle; Close resources; Set limits.; Technical Note: Leaks degrade then crash.,Leaks degrade then crash.
INC-1025,Application Health Check Failures,Load balancer removing healthy instances under load,Health checks too aggressive. Review timeout settings. Use dedicated endpoint. Separate liveness from readiness. Adjust intervals.,Resolved,Medium,Infrastructure,"application, health-check, availability",22-03-2024,22-03-2024,Health checks too aggressive; Review timeout settings; Use dedicated endpoint; Separate liveness from readiness; Adjust intervals.; Technical Note: Health check config impacts availability.,Health check config impacts availability.
INC-1026,Lunch Hour Idle Disconnects,VPN disconnects during lunch 12-1 PM when users step away,Idle timeout disconnects during breaks. Review timeout settings. Consider longer timeout. Implement keep-alive. Communicate policy.,Resolved,Medium,Remote Access,"vpn, lunch, idle, timeout",10-08-2024,10-08-2024,Idle timeout disconnects during breaks; Review timeout settings; Consider longer timeout; Implement keep-alive; Communicate policy.; Technical Note: Lunch breaks trigger idle timeouts.,Lunch breaks trigger idle timeouts.
INC-1027,Weekend Access Issues,Weekend workers unable to access systems during maintenance,Weekend maintenance conflicts with global workforce. Use rolling updates. Minimize windows. Communicate globally. Test rollback.,Resolved,Medium,Operations,"infrastructure, weekend, maintenance",05-07-2024,05-07-2024,Weekend maintenance conflicts with global workforce; Use rolling updates; Minimize windows; Communicate globally; Test rollback.; Technical Note: Global workforce means no true off-hours.,Global workforce means no true off-hours.
INC-1028,After Hours Performance Baseline,Systems fast after 7 PM when load drops,Off-peak shows true potential. Use as baseline comparison. Document difference. Build case for capacity. Consider staggered schedules.,Resolved,Medium,Operations,"infrastructure, off-hours, baseline",18-06-2024,18-06-2024,Off-peak shows true potential; Use as baseline comparison; Document difference; Build case for capacity; Consider staggered schedules.; Technical Note: Off-peak performance reveals needed capacity.,Off-peak performance reveals needed capacity.
INC-1029,Daylight Saving Time Problems,Systems have issues during DST transitions,DST causes scheduling problems. Review scheduled tasks. Test transitions. Use UTC internally. Handle ambiguous times. Monitor transition weekends.,Resolved,Medium,Operations,"infrastructure, dst, time",08-03-2024,08-03-2024,DST causes scheduling problems; Review scheduled tasks; Test transitions; Use UTC internally; Handle ambiguous times; Monitor transition weekends.; Technical Note: DST causes predictable yearly issues.,DST causes predictable yearly issues.
INC-1030,MFA Authentication Delays,MFA adds 15-30 seconds to every VPN login,MFA increases security but adds time. Cache tokens for trusted devices. Enable remember device. Use push instead of codes. Consider certs for managed devices.,Resolved,Medium,Security,"vpn, mfa, authentication, delay",02-09-2024,02-09-2024,MFA increases security but adds time; Cache tokens for trusted devices; Enable remember device; Use push instead of codes; Consider certs for managed devices.; Technical Note: MFA necessary but adds friction.,MFA necessary but adds friction.
INC-1031,RADIUS Server Overload,Authentication delays when RADIUS server CPU high,RADIUS overloaded with auth requests. Check CPU and memory. Review logs. Measure latency. Add redundancy. Consider certificate auth.,Resolved,Medium,Security,"vpn, radius, authentication, server",15-08-2024,15-08-2024,RADIUS overloaded with auth requests; Check CPU and memory; Review logs; Measure latency; Add redundancy; Consider certificate auth.; Technical Note: Auth server is critical path.,Auth server is critical path.
INC-1032,DNS Resolution Delays,Slow DNS adding latency to new connections,DNS delays impact every connection. Check response under 50ms. Use local caching. Configure multiple servers. Monitor query times. Prefetch DNS.,Resolved,Medium,Infrastructure,"network, dns, latency, resolution",12-07-2024,12-07-2024,DNS delays impact every connection; Check response under 50ms; Use local caching; Configure multiple servers; Monitor query times; Prefetch DNS.; Technical Note: DNS impacts initial connection time.,DNS impacts initial connection time.
INC-1033,Firewall Blocking VPN Ports,Firewall rules preventing VPN connections,Firewall may block VPN ports. Verify UDP 500 4500 open. Check ESP protocol. Review NAT-T. Test both sides. Document required rules.,Resolved,High,Security,"network, firewall, vpn, blocking",25-06-2024,25-06-2024,Firewall may block VPN ports; Verify UDP 500 4500 open; Check ESP protocol; Review NAT-T; Test both sides; Document required rules.; Technical Note: Firewall rules frequently cause issues.,Firewall rules frequently cause issues.
INC-1034,SSL Certificate Chain Incomplete,SSL errors due to missing intermediate certificates,Missing intermediates cause validation failure. Download from CA. Install complete chain. Test from multiple clients. Verify with SSL checker.,Resolved,Medium,Certificates,"ssl, certificate, chain, validation",20-05-2024,20-05-2024,Missing intermediates cause validation failure; Download from CA; Install complete chain; Test from multiple clients; Verify with SSL checker.; Technical Note: Incomplete chains common oversight.,Incomplete chains common oversight.
INC-1035,Load Balancer Sticky Sessions,Traffic not distributing evenly across servers,Sticky sessions cause imbalance. Review LB algorithm. Consider geographic distribution. Monitor per-server load. Implement health checks.,Resolved,Medium,Load Balancing,"load-balancer, distribution, scaling",28-04-2024,28-04-2024,Sticky sessions cause imbalance; Review LB algorithm; Consider geographic distribution; Monitor per-server load; Implement health checks.; Technical Note: Load balancing essential for scale.,Load balancing essential for scale.
INC-1036,Connection String Errors,Apps failing to connect due to config errors,Connection string wrong. Verify server address port database. Check credentials. Test connectivity. Review format. Log errors with details.,Resolved,Medium,Configuration,"database, connection-string, configuration",15-03-2024,15-03-2024,Connection string wrong; Verify server address port database; Check credentials; Test connectivity; Review format; Log errors with details.; Technical Note: Config errors common during setup.,Config errors common during setup.
INC-1037,Query Plan Regression,Query suddenly slow after statistics update,Plan changed causing performance shift. Capture baseline plans. Monitor for changes. Force good plans. Update statistics. Review index changes.,Resolved,High,Performance,"database, query-plan, regression",08-09-2024,08-09-2024,Plan changed causing performance shift; Capture baseline plans; Monitor for changes; Force good plans; Update statistics; Review index changes.; Technical Note: Plan changes cause sudden issues.,Plan changes cause sudden issues.
INC-1038,Deadlock Detection Needed,Transactions failing due to database deadlocks,Deadlocks when transactions wait on each other. Enable logging. Identify patterns. Review transaction order. Implement retry. Keep transactions short.,Resolved,High,Infrastructure,"database, deadlock, concurrency",20-08-2024,20-08-2024,Deadlocks when transactions wait on each other; Enable logging; Identify patterns; Review transaction order; Implement retry; Keep transactions short.; Technical Note: Deadlocks common in high concurrency.,Deadlocks common in high concurrency.
INC-1039,Backup Window Conflicts,Backups degrading production performance,Backups consume IO and CPU. Schedule during lowest usage. Use incrementals. Backup from replica. Configure throttling. Test restores.,Resolved,Medium,Operations,"database, backup, performance",18-07-2024,18-07-2024,Backups consume IO and CPU; Schedule during lowest usage; Use incrementals; Backup from replica; Configure throttling; Test restores.; Technical Note: Backups compete with production.,Backups compete with production.
INC-1040,Schema Migration Risk,Schema changes causing application errors,Schema changes risk compatibility. Use rolling migrations. Make backward compatible changes. Test thoroughly. Have rollback plan.,Resolved,High,Development,"database, schema, migration",30-06-2024,30-06-2024,Schema changes risk compatibility; Use rolling migrations; Make backward compatible changes; Test thoroughly; Have rollback plan.; Technical Note: Migrations require careful planning.,Migrations require careful planning.
INC-1041,Log Analysis Overwhelming,Too many logs making troubleshooting difficult,Enable structured logging. Implement aggregation. Create dashboards. Set up alerts. Filter noise. Correlate with issues. Archive for trends.,Resolved,Medium,Logging,"logging, analysis, troubleshooting",28-05-2024,28-05-2024,Enable structured logging; Implement aggregation; Create dashboards; Set up alerts; Filter noise; Correlate with issues; Archive for trends.; Technical Note: Log analysis essential for management.,Log analysis essential for management.
INC-1042,Alert Fatigue Problem,Important alerts missed due to too many notifications,Alert fatigue leads to ignored alerts. Review thresholds. Implement tiers. Suppress duplicates. Create escalation. Use intelligent alerting.,Resolved,Medium,Monitoring,"monitoring, alerts, fatigue",25-04-2024,25-04-2024,Alert fatigue leads to ignored alerts; Review thresholds; Implement tiers; Suppress duplicates; Create escalation; Use intelligent alerting.; Technical Note: Effective alerting requires tuning.,Effective alerting requires tuning.
INC-1043,Network Segmentation Issues,Segmentation blocking legitimate app traffic,Segmentation improves security but can break apps. Document traffic flows. Review firewall rules. Test changes. Monitor blocked traffic.,Resolved,Medium,Security,"network, segmentation, firewall",28-03-2024,28-03-2024,Segmentation improves security but can break apps; Document traffic flows; Review firewall rules; Test changes; Monitor blocked traffic.; Technical Note: Segmentation requires understanding dependencies.,Segmentation requires understanding dependencies.
INC-1044,VPN Error Code ERR-1302 Connection Refused,VPN connection fails with specific error code ERR-1302 indicating gateway rejection,Error ERR-1302 indicates the VPN gateway is actively refusing connections. Step 1: Verify your VPN credentials are current. Step 2: Check if your account is locked in Active Directory. Step 3: Confirm VPN gateway certificate is valid. Step 4: Review gateway logs for rejection reason. Step 5: Contact Network Team if account and certs are valid. Common cause: expired password or certificate mismatch.,Resolved,High,Remote Access,"vpn, error, ERR-1302, connection-refused",15-10-2024,15-10-2024,Error ERR-1302 indicates the VPN gateway is actively refusing connections; Step 1: Verify your VPN credentials are current; Step 2: Check if your account is locked in Active Directory; Step 3: Confirm VPN gateway certificate is valid; Step 4: Review gateway logs for rejection reason; Step 5: Contact Network Team if account and certs are valid; Common cause: expired password or certificate mismatch.; Technical Note: ERR-1302 is gateway-specific rejection code. Always check AD account status first.,ERR-1302 is gateway-specific rejection code. Always check AD account status first.
INC-1045,VPN Error Code ERR-5001 Authentication Timeout,VPN fails with ERR-5001 indicating RADIUS authentication timeout,Error ERR-5001 means RADIUS server did not respond in time. Step 1: Check RADIUS server health and CPU usage. Step 2: Verify network path to RADIUS server. Step 3: Review RADIUS server logs for queued requests. Step 4: Consider RADIUS server capacity increase. Step 5: Implement RADIUS server redundancy if single point of failure.,Resolved,Critical,Security,"vpn, error, ERR-5001, radius, timeout",18-10-2024,18-10-2024,Error ERR-5001 means RADIUS server did not respond in time; Step 1: Check RADIUS server health and CPU usage; Step 2: Verify network path to RADIUS server; Step 3: Review RADIUS server logs for queued requests; Step 4: Consider RADIUS server capacity increase; Step 5: Implement RADIUS server redundancy if single point of failure.; Technical Note: ERR-5001 typically indicates RADIUS overload during peak hours.,ERR-5001 typically indicates RADIUS overload during peak hours.
INC-1046,Legacy SSO Migration Steps,Steps to migrate from legacy SSO system to modern identity provider,Migration from legacy SSO requires careful planning. Phase 1: Inventory all applications using legacy SSO. Phase 2: Map legacy attributes to new IdP claims. Phase 3: Configure federation trust between systems. Phase 4: Implement parallel authentication during transition. Phase 5: Migrate applications in waves by criticality. Phase 6: Decommission legacy SSO after 30-day parallel run. Critical: Maintain rollback capability throughout migration.,Resolved,Critical,Migration,"sso, legacy, migration, identity",25-09-2024,25-09-2024,Migration from legacy SSO requires careful planning; Phase 1: Inventory all applications using legacy SSO; Phase 2: Map legacy attributes to new IdP claims; Phase 3: Configure federation trust between systems; Phase 4: Implement parallel authentication during transition; Phase 5: Migrate applications in waves by criticality; Phase 6: Decommission legacy SSO after 30-day parallel run; Critical: Maintain rollback capability throughout migration.; Technical Note: Legacy SSO migration is high-risk. Always maintain rollback path.,Legacy SSO migration is high-risk. Always maintain rollback path.
INC-1047,Legacy Active Directory Sync Issues,Problems synchronizing legacy AD with cloud identity systems,Legacy AD sync failures often due to schema mismatches. Step 1: Review sync error logs for specific attributes. Step 2: Check for unsupported characters in legacy attributes. Step 3: Verify connector account permissions. Step 4: Review attribute mapping rules. Step 5: Test with single user before bulk sync. Common issue: Legacy systems allow characters that cloud rejects.,Resolved,High,Synchronization,"active-directory, legacy, sync, identity",28-08-2024,28-08-2024,Legacy AD sync failures often due to schema mismatches; Step 1: Review sync error logs for specific attributes; Step 2: Check for unsupported characters in legacy attributes; Step 3: Verify connector account permissions; Step 4: Review attribute mapping rules; Step 5: Test with single user before bulk sync; Common issue: Legacy systems allow characters that cloud rejects.; Technical Note: AD sync errors accumulate - fix root cause not symptoms.,AD sync errors accumulate - fix root cause not symptoms.
INC-1048,VPN Severe Outage Escalation Procedure,Emergency escalation procedure for critical VPN outages affecting multiple users,"CRITICAL SEVERITY PROCEDURE: For VPN outages affecting 50+ users or lasting 15+ minutes. Step 1: IMMEDIATELY notify Network Team on-call via PagerDuty. Step 2: Open Priority 1 incident ticket. Step 3: Engage VPN vendor support if hardware suspected. Step 4: Notify IT Leadership if outage exceeds 30 minutes. Step 5: Prepare user communication for outages exceeding 1 hour. Step 6: Conduct post-incident review within 48 hours. Escalation contacts: Network Team Lead, IT Director, CTO for extended outages.",Resolved,Critical,Escalation,"vpn, outage, escalation, critical, emergency",01-11-2024,01-11-2024,"CRITICAL SEVERITY PROCEDURE: For VPN outages affecting 50+ users or lasting 15+ minutes; Step 1: IMMEDIATELY notify Network Team on-call via PagerDuty; Step 2: Open Priority 1 incident ticket; Step 3: Engage VPN vendor support if hardware suspected; Step 4: Notify IT Leadership if outage exceeds 30 minutes; Step 5: Prepare user communication for outages exceeding 1 hour; Step 6: Conduct post-incident review within 48 hours; Escalation contacts: Network Team Lead, IT Director, CTO for extended outages.; Technical Note: This is the CRITICAL escalation path. Use only for confirmed widespread outages.",This is the CRITICAL escalation path. Use only for confirmed widespread outages.
INC-1049,VPN Troubleshooting Guide v1,Comprehensive VPN troubleshooting guide version 1.0,Standard VPN troubleshooting steps from 2024: 1) Restart VPN client. 2) Check internet connectivity. 3) Verify credentials. 4) Clear VPN cache. 5) Reinstall VPN client if needed. 6) Contact helpdesk if issue persists. Note: This guide covers basic troubleshooting for standard VPN issues.,Resolved,Medium,Troubleshooting,"vpn, troubleshooting, guide",01-06-2024,01-06-2024,Standard VPN troubleshooting steps from 2024: 1) Restart VPN client; 2) Check internet connectivity; 3) Verify credentials; 4) Clear VPN cache; 5) Reinstall VPN client if needed; 6) Contact helpdesk if issue persists; Note: This guide covers basic troubleshooting for standard VPN issues.; Technical Note: Version 1.0 of VPN troubleshooting guide - basic steps only.,Version 1.0 of VPN troubleshooting guide - basic steps only.
INC-1050,VPN Troubleshooting Guide v2 Updated Jan 2025,Updated comprehensive VPN troubleshooting guide with latest fixes and procedures,"UPDATED January 2025 - Enhanced VPN troubleshooting with new diagnostic tools: 1) Run new VPN Health Check tool (vpn-diag.exe). 2) Check split-tunnel configuration status. 3) Verify Always-On VPN policy application. 4) Review Windows Credential Manager for stale entries. 5) Check for conflicting network adapters (WSL, Docker). 6) Verify DNS resolution through VPN tunnel. 7) Test with new VPN gateway pool (gateway-v2.corp.com). 8) Enable enhanced logging with /debug flag. NEW: Use the VPN Diagnostic Dashboard at https://vpn-status.internal for real-time health metrics. Contact Network Team via #vpn-support Slack channel for immediate assistance.",Resolved,High,Troubleshooting,"vpn, troubleshooting, guide, updated, 2025",10-01-2025,10-01-2025,"UPDATED January 2025 - Enhanced VPN troubleshooting with new diagnostic tools: 1) Run new VPN Health Check tool (vpn-diag.exe); 2) Check split-tunnel configuration status; 3) Verify Always-On VPN policy application; 4) Review Windows Credential Manager for stale entries; 5) Check for conflicting network adapters (WSL, Docker); 6) Verify DNS resolution through VPN tunnel; 7) Test with new VPN gateway pool (gateway-v2.corp.com); 8) Enable enhanced logging with /debug flag; NEW: Use the VPN Diagnostic Dashboard at https://vpn-status.internal for real-time health metrics; Contact Network Team via #vpn-support Slack channel for immediate assistance.; Technical Note: Version 2.0 - Major update with new diagnostic tools and procedures. Supersedes v1.0.",Version 2.0 - Major update with new diagnostic tools and procedures. Supersedes v1.0.
